ts	iface	rx_bytes	tx_bytes
1787882233.790650049	s4-eth2	321065	318223
1787882233.790650049	s4-eth20	1554717	232122320
1787882233.790650049	s4-eth21	345341	145259383
1787882233.790650049	s4-eth22	1463610	222931779
1787882233.790650049	s4-eth23	984023	2094897814
1787882233.790650049	s4-eth24	1466429	221105454
1787882233.790650049	s4-eth25	1857552	255407209
1787882233.790650049	s4-eth26	709480	171452227
1787882233.790650049	s4-eth27	1362072	2500335440
1787882233.790650049	s4-eth28	2582767	180775461
1787882233.790650049	s4-eth29	1378735	112776567
1787882233.790650049	s4-eth3	828187	618967436
1787882233.790650049	s4-eth30	2785294	185720072
1787882233.790650049	s4-eth31	1226837	2077567823
1787882233.790650049	s4-eth32	1800365	123901998
1787882233.790650049	s4-eth33	1492615	111491263
1787882233.790650049	s4-eth34	529892	38542880
1787882233.790650049	s4-eth4	432002	82292915
1787882233.790650049	s4-eth5	2375702	198635923
1787882233.790650049	s4-eth6	1984553	179653742
1787882233.790650049	s4-eth7	562848	1978617311
1787882233.790650049	s4-eth8	798223	105379448
1787882233.790650049	s4-eth9	806501	103283559
1787882233.790650049	s5-eth1	30637860174	43430356
1787882233.790650049	s5-eth2	10496969882	13932905905
1787882233.790650049	s5-eth3	43122293	23720646410
1787882233.790650049	s5-eth4	332475	318426
1787882233.790650049	s6-eth1	741020334	321065
1787882233.790650049	s6-eth2	321065	203021465
1787882233.790650049	s6-eth3	321065	356724588
1787882233.790650049	s6-eth4	332670	321065
1787882233.790650049	s7-eth1	11047393293	13873745333
1787882233.790650049	s7-eth2	42581360	18368980934
1787882233.790650049	s7-eth3	23155797273	43126709
1787882233.790650049	s7-eth4	332447	321065
1787882233.790650049	s8-eth1	320995	321065
1787882233.790650049	s8-eth2	318223	321065
1787882233.790650049	s8-eth3	321065	318426
1787882233.790650049	s8-eth4	332545	321065
1787882233.790650049	s9-eth1	23720646410	43122293
1787882233.790650049	s9-eth2	356724588	321065
1787882233.790650049	s9-eth3	43126709	23155797273
1787882233.790650049	s9-eth4	318426	321065
1787882236.063760920	s10-eth1	318453	332503
1787882236.063760920	s10-eth2	321092	332698
1787882236.063760920	s10-eth3	321092	332475
1787882236.063760920	s10-eth4	321092	332573
1787882236.063760920	s1-eth1	43430383	30637860201
1787882236.063760920	s1-eth10	35632189	634242
1787882236.063760920	s1-eth11	3060227322	382695
1787882236.063760920	s1-eth12	271162893	658977
1787882236.063760920	s1-eth13	32263380	291419
1787882236.063760920	s1-eth14	273201748	724895
1787882236.063760920	s1-eth15	2011049467	2254257
1787882236.063760920	s1-eth16	338097244	1856350
1787882236.063760920	s1-eth17	136838105	2058627
1787882236.063760920	s1-eth18	218880992	13101
1787882236.063760920	s1-eth19	9151066088	657964
1787882236.063760920	s1-eth2	321092	741020361
1787882236.063760920	s1-eth20	349147305	1547771
1787882236.063760920	s1-eth21	399603449	2582945
1787882236.063760920	s1-eth22	65594530	775524
1787882236.063760920	s1-eth23	2113414540	1016704
1787882236.063760920	s1-eth24	275209256	639274
1787882236.063760920	s1-eth25	174160461	2433215
1787882236.063760920	s1-eth26	342037253	1606059
1787882236.063760920	s1-eth27	2184740749	1378517
1787882236.063760920	s1-eth28	87433539	1354965
1787882236.063760920	s1-eth29	53352140	860960
1787882236.063760920	s1-eth3	9626667801	5143328
1787882236.063760920	s1-eth30	60033397	979657
1787882236.063760920	s1-eth31	2078853627	630967
1787882236.063760920	s1-eth32	302915748	1152749
1787882236.063760920	s1-eth33	111671098	1716128
1787882236.063760920	s1-eth34	74261886	1063841
1787882236.063760920	s1-eth4	297097520	1065931
1787882236.063760920	s1-eth5	308515260	1297341
1787882236.063760920	s1-eth6	294865484	1130873
1787882236.063760920	s1-eth7	2217676700	2288235
1787882236.063760920	s1-eth8	344175117	1837064
1787882236.063760920	s1-eth9	106360271	1433514
1787882236.063760920	s2-eth1	13932905932	10496969909
1787882236.063760920	s2-eth10	285680739	881548
1787882236.063760920	s2-eth11	3129080836	2626450
1787882236.063760920	s2-eth12	57312921	1002753
1787882236.063760920	s2-eth13	74846737	959798
1787882236.063760920	s2-eth14	48279981	558194
1787882236.063760920	s2-eth15	1969929081	1889174
1787882236.063760920	s2-eth16	348074353	1868861
1787882236.063760920	s2-eth17	346326963	1858027
1787882236.063760920	s2-eth18	248788317	545131
1787882236.063760920	s2-eth19	649576	6621553484
1787882236.063760920	s2-eth2	203021492	321092
1787882236.063760920	s2-eth20	1541554	187011170
1787882236.063760920	s2-eth21	2574995	231195856
1787882236.063760920	s2-eth22	768129	51416437
1787882236.063760920	s2-eth23	1008881	1859957180
1787882236.063760920	s2-eth24	631088	106816743
1787882236.063760920	s2-eth25	2427765	158080216
1787882236.063760920	s2-eth26	1598853	172611325
1787882236.063760920	s2-eth27	1370318	1930997242
1787882236.063760920	s2-eth28	1347267	83089165
1787882236.063760920	s2-eth29	852784	51838458
1787882236.063760920	s2-eth3	1456462752	835432
1787882236.063760920	s2-eth30	971427	57471942
1787882236.063760920	s2-eth31	623396	1827735863
1787882236.063760920	s2-eth32	1144442	142927579
1787882236.063760920	s2-eth33	1712157	107384501
1787882236.063760920	s2-eth34	1055832	59090804
1787882236.063760920	s2-eth4	258994612	440398
1787882236.063760920	s2-eth5	378930003	2376284
1787882236.063760920	s2-eth6	358611689	1983097
1787882236.063760920	s2-eth7	2121148605	566545
1787882236.063760920	s2-eth8	283908433	799038
1787882236.063760920	s2-eth9	282269639	809646
1787882236.063760920	s3-eth1	13873745360	11047393320
1787882236.063760920	s3-eth10	627214	33500143
1787882236.063760920	s3-eth11	375715	1900267210
1787882236.063760920	s3-eth12	650396	85557367
1787882236.063760920	s3-eth13	282799	17392539
1787882236.063760920	s3-eth14	716851	86034544
1787882236.063760920	s3-eth15	2248205	1740754302
1787882236.063760920	s3-eth16	1850455	146240940
1787882236.063760920	s3-eth17	2057373	118077889
1787882236.063760920	s3-eth18	4572	47644494
1787882236.063760920	s3-eth19	1464843665	858676
1787882236.063760920	s3-eth2	321092	321022
1787882236.063760920	s3-eth20	344553718	1548843
1787882236.063760920	s3-eth21	256063926	339106
1787882236.063760920	s3-eth22	335621848	1470263
1787882236.063760920	s3-eth23	2159678952	984630
1787882236.063760920	s3-eth24	325785076	1469578
1787882236.063760920	s3-eth25	370499385	1859867
1787882236.063760920	s3-eth26	286078970	715609
1787882236.063760920	s3-eth27	3134326642	1357759
1787882236.063760920	s3-eth28	193307547	2577423
1787882236.063760920	s3-eth29	124064515	1377954
1787882236.063760920	s3-eth3	5136360	6906873302
1787882236.063760920	s3-eth30	199590777	2773501
1787882236.063760920	s3-eth31	2124387351	1215993
1787882236.063760920	s3-eth32	136124639	1800127
1787882236.063760920	s3-eth33	122469044	1495314
1787882236.063760920	s3-eth34	48326776	537677
1787882236.063760920	s3-eth4	1059431	113534869
1787882236.063760920	s3-eth5	1290833	123845953
1787882236.063760920	s3-eth6	1125457	108116140
1787882236.063760920	s3-eth7	2284042	1890041645
1787882236.063760920	s3-eth8	1831542	158133694
1787882236.063760920	s3-eth9	1426961	89449896
1787882236.063760920	s4-eth1	18368980961	42581387
1787882236.063760920	s4-eth10	873767	107171979
1787882236.063760920	s4-eth11	2623953	2249127547
1787882236.063760920	s4-eth12	999518	55624421
1787882236.063760920	s4-eth13	956294	61868673
1787882236.063760920	s4-eth14	553686	34366888
1787882236.063760920	s4-eth15	1888645	1835018732
1787882236.063760920	s4-eth16	1876743	166515094
1787882236.063760920	s4-eth17	1856488	164159342
1787882236.063760920	s4-eth18	536711	80227908
1787882236.063760920	s4-eth19	850341	880782489
1787882236.063760920	s4-eth2	321092	318250
1787882236.063760920	s4-eth20	1554717	232122320
1787882236.063760920	s4-eth21	345341	145259383
1787882236.063760920	s4-eth22	1463610	222931779
1787882236.063760920	s4-eth23	984023	2094897814
1787882236.063760920	s4-eth24	1466429	221105454
1787882236.063760920	s4-eth25	1857552	255407209
1787882236.063760920	s4-eth26	709480	171452227
1787882236.063760920	s4-eth27	1362072	2500335440
1787882236.063760920	s4-eth28	2582767	180775461
1787882236.063760920	s4-eth29	1378735	112776567
1787882236.063760920	s4-eth3	828187	618967436
1787882236.063760920	s4-eth30	2785294	185720072
1787882236.063760920	s4-eth31	1226837	2077567823
1787882236.063760920	s4-eth32	1800365	123901998
1787882236.063760920	s4-eth33	1492615	111491263
1787882236.063760920	s4-eth34	529892	38542880
1787882236.063760920	s4-eth4	432002	82292915
1787882236.063760920	s4-eth5	2375702	198635923
1787882236.063760920	s4-eth6	1984553	179653742
1787882236.063760920	s4-eth7	562848	1978617311
1787882236.063760920	s4-eth8	798223	105379448
1787882236.063760920	s4-eth9	806501	103283559
1787882236.063760920	s5-eth1	30637860201	43430383
1787882236.063760920	s5-eth2	10496969909	13932905932
1787882236.063760920	s5-eth3	43122320	23720646437
1787882236.063760920	s5-eth4	332503	318453
1787882236.063760920	s6-eth1	741020361	321092
1787882236.063760920	s6-eth2	321092	203021492
1787882236.063760920	s6-eth3	321092	356724615
1787882236.063760920	s6-eth4	332698	321092
1787882236.063760920	s7-eth1	11047393320	13873745360
1787882236.063760920	s7-eth2	42581387	18368980961
1787882236.063760920	s7-eth3	23155797300	43126736
1787882236.063760920	s7-eth4	332475	321092
1787882236.063760920	s8-eth1	321022	321092
1787882236.063760920	s8-eth2	318250	321092
1787882236.063760920	s8-eth3	321092	318453
1787882236.063760920	s8-eth4	332573	321092
1787882236.063760920	s9-eth1	23720646437	43122320
1787882236.063760920	s9-eth2	356724615	321092
1787882236.063760920	s9-eth3	43126736	23155797300
1787882236.063760920	s9-eth4	318453	321092
1787882238.341584303	s10-eth1	318453	332503
1787882238.341584303	s10-eth2	321092	332698
1787882238.341584303	s10-eth3	321092	332475
1787882238.341584303	s10-eth4	321092	332573
1787882238.341584303	s1-eth1	43430383	30637860201
1787882238.341584303	s1-eth10	35632189	634242
1787882238.341584303	s1-eth11	3060227322	382695
1787882238.341584303	s1-eth12	271162893	658977
1787882238.341584303	s1-eth13	32263380	291419
1787882238.341584303	s1-eth14	273201748	724895
1787882238.341584303	s1-eth15	2011049467	2254257
1787882238.341584303	s1-eth16	338097244	1856350
1787882238.341584303	s1-eth17	136838105	2058627
1787882238.341584303	s1-eth18	218880992	13101
1787882238.341584303	s1-eth19	9151066088	657964
1787882238.341584303	s1-eth2	321092	741020361
1787882238.341584303	s1-eth20	349147305	1547771
1787882238.341584303	s1-eth21	399603449	2582945
1787882238.341584303	s1-eth22	65594530	775524
1787882238.341584303	s1-eth23	2113414540	1016704
1787882238.341584303	s1-eth24	275209256	639274
1787882238.341584303	s1-eth25	174160461	2433215
1787882238.341584303	s1-eth26	342037253	1606059
1787882238.341584303	s1-eth27	2184740749	1378517
1787882238.341584303	s1-eth28	87433539	1354965
1787882238.341584303	s1-eth29	53352140	860960
1787882238.341584303	s1-eth3	9626667801	5143328
1787882238.341584303	s1-eth30	60033397	979657
1787882238.341584303	s1-eth31	2078853627	630967
1787882238.341584303	s1-eth32	302915748	1152749
1787882238.341584303	s1-eth33	111671098	1716128
1787882238.341584303	s1-eth34	74261886	1063841
1787882238.341584303	s1-eth4	297097520	1065931
1787882238.341584303	s1-eth5	308515260	1297341
1787882238.341584303	s1-eth6	294865484	1130873
1787882238.341584303	s1-eth7	2217676700	2288235
1787882238.341584303	s1-eth8	344175117	1837064
1787882238.341584303	s1-eth9	106360271	1433514
1787882238.341584303	s2-eth1	13932905932	10496969909
1787882238.341584303	s2-eth10	285680739	881548
1787882238.341584303	s2-eth11	3129080836	2626450
1787882238.341584303	s2-eth12	57312921	1002753
1787882238.341584303	s2-eth13	74846737	959798
1787882238.341584303	s2-eth14	48279981	558194
1787882238.341584303	s2-eth15	1969929081	1889174
1787882238.341584303	s2-eth16	348074353	1868861
1787882238.341584303	s2-eth17	346326963	1858027
1787882238.341584303	s2-eth18	248788317	545131
1787882238.341584303	s2-eth19	649576	6621553484
1787882238.341584303	s2-eth2	203021492	321092
1787882238.341584303	s2-eth20	1541554	187011170
1787882238.341584303	s2-eth21	2574995	231195856
1787882238.341584303	s2-eth22	768129	51416437
1787882238.341584303	s2-eth23	1008881	1859957180
1787882238.341584303	s2-eth24	631088	106816743
1787882238.341584303	s2-eth25	2427765	158080216
1787882238.341584303	s2-eth26	1598853	172611325
1787882238.341584303	s2-eth27	1370318	1930997242
1787882238.341584303	s2-eth28	1347267	83089165
1787882238.341584303	s2-eth29	852784	51838458
1787882238.341584303	s2-eth3	1456462752	835432
1787882238.341584303	s2-eth30	971427	57471942
1787882238.341584303	s2-eth31	623396	1827735863
1787882238.341584303	s2-eth32	1144442	142927579
1787882238.341584303	s2-eth33	1712157	107384501
1787882238.341584303	s2-eth34	1055832	59090804
1787882238.341584303	s2-eth4	258994612	440398
1787882238.341584303	s2-eth5	378930003	2376284
1787882238.341584303	s2-eth6	358611689	1983097
1787882238.341584303	s2-eth7	2121148605	566545
1787882238.341584303	s2-eth8	283908433	799038
1787882238.341584303	s2-eth9	282269639	809646
1787882238.341584303	s3-eth1	13873745360	11047393320
1787882238.341584303	s3-eth10	627214	33500143
1787882238.341584303	s3-eth11	375715	1900267210
1787882238.341584303	s3-eth12	650396	85557367
1787882238.341584303	s3-eth13	282799	17392539
1787882238.341584303	s3-eth14	716851	86034544
1787882238.341584303	s3-eth15	2248205	1740754302
1787882238.341584303	s3-eth16	1850455	146240940
1787882238.341584303	s3-eth17	2057373	118077889
1787882238.341584303	s3-eth18	4572	47644494
1787882238.341584303	s3-eth19	1464843665	858676
1787882238.341584303	s3-eth2	321092	321022
1787882238.341584303	s3-eth20	344553718	1548843
1787882238.341584303	s3-eth21	256063926	339106
1787882238.341584303	s3-eth22	335621848	1470263
1787882238.341584303	s3-eth23	2159678952	984630
1787882238.341584303	s3-eth24	325785076	1469578
1787882238.341584303	s3-eth25	370499385	1859867
1787882238.341584303	s3-eth26	286078970	715609
1787882238.341584303	s3-eth27	3134326642	1357759
1787882238.341584303	s3-eth28	193307547	2577423
1787882238.341584303	s3-eth29	124064515	1377954
1787882238.341584303	s3-eth3	5136360	6906873302
1787882238.341584303	s3-eth30	199590777	2773501
1787882238.341584303	s3-eth31	2124387351	1215993
1787882238.341584303	s3-eth32	136124639	1800127
1787882238.341584303	s3-eth33	122469044	1495314
1787882238.341584303	s3-eth34	48326776	537677
1787882238.341584303	s3-eth4	1059431	113534869
1787882238.341584303	s3-eth5	1290833	123845953
1787882238.341584303	s3-eth6	1125457	108116140
1787882238.341584303	s3-eth7	2284042	1890041645
1787882238.341584303	s3-eth8	1831542	158133694
1787882238.341584303	s3-eth9	1426961	89449896
1787882238.341584303	s4-eth1	18368980961	42581387
1787882238.341584303	s4-eth10	873767	107171979
1787882238.341584303	s4-eth11	2623953	2249127547
1787882238.341584303	s4-eth12	999518	55624421
1787882238.341584303	s4-eth13	956294	61868673
1787882238.341584303	s4-eth14	553686	34366888
1787882238.341584303	s4-eth15	1888645	1835018732
1787882238.341584303	s4-eth16	1876743	166515094
1787882238.341584303	s4-eth17	1856488	164159342
1787882238.341584303	s4-eth18	536711	80227908
1787882238.341584303	s4-eth19	850341	880782489
1787882238.341584303	s4-eth2	321092	318250
1787882238.341584303	s4-eth20	1554717	232122320
1787882238.341584303	s4-eth21	345341	145259383
1787882238.341584303	s4-eth22	1463610	222931779
1787882238.341584303	s4-eth23	984023	2094897814
1787882238.341584303	s4-eth24	1466429	221105454
1787882238.341584303	s4-eth25	1857552	255407209
1787882238.341584303	s4-eth26	709480	171452227
1787882238.341584303	s4-eth27	1362072	2500335440
1787882238.341584303	s4-eth28	2582767	180775461
1787882238.341584303	s4-eth29	1378735	112776567
1787882238.341584303	s4-eth3	828187	618967436
1787882238.341584303	s4-eth30	2785294	185720072
1787882238.341584303	s4-eth31	1226837	2077567823
1787882238.341584303	s4-eth32	1800365	123901998
1787882238.341584303	s4-eth33	1492615	111491263
1787882238.341584303	s4-eth34	529892	38542880
1787882238.341584303	s4-eth4	432002	82292915
1787882238.341584303	s4-eth5	2375702	198635923
1787882238.341584303	s4-eth6	1984553	179653742
1787882238.341584303	s4-eth7	562848	1978617311
1787882238.341584303	s4-eth8	798223	105379448
1787882238.341584303	s4-eth9	806501	103283559
1787882238.341584303	s5-eth1	30637860201	43430383
1787882238.341584303	s5-eth2	10496969909	13932905932
1787882238.341584303	s5-eth3	43122320	23720646437
1787882238.341584303	s5-eth4	332503	318453
1787882238.341584303	s6-eth1	741020361	321092
1787882238.341584303	s6-eth2	321092	203021492
1787882238.341584303	s6-eth3	321092	356724615
1787882238.341584303	s6-eth4	332698	321092
1787882238.341584303	s7-eth1	11047393320	13873745360
1787882238.341584303	s7-eth2	42581387	18368980961
1787882238.341584303	s7-eth3	23155797300	43126736
1787882238.341584303	s7-eth4	332475	321092
1787882238.341584303	s8-eth1	321022	321092
1787882238.341584303	s8-eth2	318250	321092
1787882238.341584303	s8-eth3	321092	318453
1787882238.341584303	s8-eth4	332573	321092
1787882238.341584303	s9-eth1	23720646437	43122320
1787882238.341584303	s9-eth2	356724615	321092
1787882238.341584303	s9-eth3	43126736	23155797300
1787882238.341584303	s9-eth4	318453	321092
1787882240.619004177	s10-eth1	318480	332531
1787882240.619004177	s10-eth2	321119	332726
1787882240.619004177	s10-eth3	321119	332503
1787882240.619004177	s10-eth4	321119	332601
1787882240.619004177	s1-eth1	43430410	30637860228
1787882240.619004177	s1-eth10	35632189	634242
1787882240.619004177	s1-eth11	3060227322	382695
1787882240.619004177	s1-eth12	271162893	658977
1787882240.619004177	s1-eth13	32263380	291419
1787882240.619004177	s1-eth14	273201748	724895
1787882240.619004177	s1-eth15	2011049467	2254257
1787882240.619004177	s1-eth16	338097244	1856350
1787882240.619004177	s1-eth17	136838105	2058627
1787882240.619004177	s1-eth18	218880992	13101
1787882240.619004177	s1-eth19	9151066088	657964
1787882240.619004177	s1-eth2	321119	741020388
1787882240.619004177	s1-eth20	349147305	1547771
1787882240.619004177	s1-eth21	399603449	2582945
1787882240.619004177	s1-eth22	65594530	775524
1787882240.619004177	s1-eth23	2113414540	1016704
1787882240.619004177	s1-eth24	275209256	639274
1787882240.619004177	s1-eth25	174160461	2433215
1787882240.619004177	s1-eth26	342037253	1606059
1787882240.619004177	s1-eth27	2184740749	1378517
1787882240.619004177	s1-eth28	87433539	1354965
1787882240.619004177	s1-eth29	53352140	860960
1787882240.619004177	s1-eth3	9626667801	5143328
1787882240.619004177	s1-eth30	60033397	979657
1787882240.619004177	s1-eth31	2078853627	630967
1787882240.619004177	s1-eth32	302915748	1152749
1787882240.619004177	s1-eth33	111671098	1716128
1787882240.619004177	s1-eth34	74261886	1063841
1787882240.619004177	s1-eth4	297097520	1065931
1787882240.619004177	s1-eth5	308515260	1297341
1787882240.619004177	s1-eth6	294865484	1130873
1787882240.619004177	s1-eth7	2217676700	2288235
1787882240.619004177	s1-eth8	344175117	1837064
1787882240.619004177	s1-eth9	106360271	1433514
1787882240.619004177	s2-eth1	13932905959	10496969936
1787882240.619004177	s2-eth10	285680739	881548
1787882240.619004177	s2-eth11	3129080836	2626450
1787882240.619004177	s2-eth12	57312921	1002753
1787882240.619004177	s2-eth13	74846737	959798
1787882240.619004177	s2-eth14	48279981	558194
1787882240.619004177	s2-eth15	1969929081	1889174
1787882240.619004177	s2-eth16	348074353	1868861
1787882240.619004177	s2-eth17	346326963	1858027
1787882240.619004177	s2-eth18	248788317	545131
1787882240.619004177	s2-eth19	649576	6621553484
1787882240.619004177	s2-eth2	203021519	321119
1787882240.619004177	s2-eth20	1541554	187011170
1787882240.619004177	s2-eth21	2574995	231195856
1787882240.619004177	s2-eth22	768129	51416437
1787882240.619004177	s2-eth23	1008881	1859957180
1787882240.619004177	s2-eth24	631088	106816743
1787882240.619004177	s2-eth25	2427765	158080216
1787882240.619004177	s2-eth26	1598853	172611325
1787882240.619004177	s2-eth27	1370318	1930997242
1787882240.619004177	s2-eth28	1347267	83089165
1787882240.619004177	s2-eth29	852784	51838458
1787882240.619004177	s2-eth3	1456462752	835432
1787882240.619004177	s2-eth30	971427	57471942
1787882240.619004177	s2-eth31	623396	1827735863
1787882240.619004177	s2-eth32	1144442	142927579
1787882240.619004177	s2-eth33	1712157	107384501
1787882240.619004177	s2-eth34	1055832	59090804
1787882240.619004177	s2-eth4	258994612	440398
1787882240.619004177	s2-eth5	378930003	2376284
1787882240.619004177	s2-eth6	358611689	1983097
1787882240.619004177	s2-eth7	2121148605	566545
1787882240.619004177	s2-eth8	283908433	799038
1787882240.619004177	s2-eth9	282269639	809646
1787882240.619004177	s3-eth1	13873745387	11047393347
1787882240.619004177	s3-eth10	627214	33500143
1787882240.619004177	s3-eth11	375715	1900267210
1787882240.619004177	s3-eth12	650396	85557367
1787882240.619004177	s3-eth13	282799	17392539
1787882240.619004177	s3-eth14	716851	86034544
1787882240.619004177	s3-eth15	2248205	1740754302
1787882240.619004177	s3-eth16	1850455	146240940
1787882240.619004177	s3-eth17	2057373	118077889
1787882240.619004177	s3-eth18	4572	47644494
1787882240.619004177	s3-eth19	1464843665	858676
1787882240.619004177	s3-eth2	321119	321049
1787882240.619004177	s3-eth20	344553718	1548843
1787882240.619004177	s3-eth21	256063926	339106
1787882240.619004177	s3-eth22	335621848	1470263
1787882240.619004177	s3-eth23	2159678952	984630
1787882240.619004177	s3-eth24	325785076	1469578
1787882240.619004177	s3-eth25	370499385	1859867
1787882240.619004177	s3-eth26	286078970	715609
1787882240.619004177	s3-eth27	3134326642	1357759
1787882240.619004177	s3-eth28	193307547	2577423
1787882240.619004177	s3-eth29	124064515	1377954
1787882240.619004177	s3-eth3	5136360	6906873302
1787882240.619004177	s3-eth30	199590777	2773501
1787882240.619004177	s3-eth31	2124387351	1215993
1787882240.619004177	s3-eth32	136124639	1800127
1787882240.619004177	s3-eth33	122469044	1495314
1787882240.619004177	s3-eth34	48326776	537677
1787882240.619004177	s3-eth4	1059431	113534869
1787882240.619004177	s3-eth5	1290833	123845953
1787882240.619004177	s3-eth6	1125457	108116140
1787882240.619004177	s3-eth7	2284042	1890041645
1787882240.619004177	s3-eth8	1831542	158133694
1787882240.619004177	s3-eth9	1426961	89449896
1787882240.619004177	s4-eth1	18368980988	42581414
1787882240.619004177	s4-eth10	873767	107171979
1787882240.619004177	s4-eth11	2623953	2249127547
1787882240.619004177	s4-eth12	999518	55624421
1787882240.619004177	s4-eth13	956294	61868673
1787882240.619004177	s4-eth14	553686	34366888
1787882240.619004177	s4-eth15	1888645	1835018732
1787882240.619004177	s4-eth16	1876743	166515094
1787882240.619004177	s4-eth17	1856488	164159342
1787882240.619004177	s4-eth18	536711	80227908
1787882240.619004177	s4-eth19	850341	880782489
1787882240.619004177	s4-eth2	321119	318277
1787882240.619004177	s4-eth20	1554717	232122320
1787882240.619004177	s4-eth21	345341	145259383
1787882240.619004177	s4-eth22	1463610	222931779
1787882240.619004177	s4-eth23	984023	2094897814
1787882240.619004177	s4-eth24	1466429	221105454
1787882240.619004177	s4-eth25	1857552	255407209
1787882240.619004177	s4-eth26	709480	171452227
1787882240.619004177	s4-eth27	1362072	2500335440
1787882240.619004177	s4-eth28	2582767	180775461
1787882240.619004177	s4-eth29	1378735	112776567
1787882240.619004177	s4-eth3	828187	618967436
1787882240.619004177	s4-eth30	2785294	185720072
1787882240.619004177	s4-eth31	1226837	2077567823
1787882240.619004177	s4-eth32	1800365	123901998
1787882240.619004177	s4-eth33	1492615	111491263
1787882240.619004177	s4-eth34	529892	38542880
1787882240.619004177	s4-eth4	432002	82292915
1787882240.619004177	s4-eth5	2375702	198635923
1787882240.619004177	s4-eth6	1984553	179653742
1787882240.619004177	s4-eth7	562848	1978617311
1787882240.619004177	s4-eth8	798223	105379448
1787882240.619004177	s4-eth9	806501	103283559
1787882240.619004177	s5-eth1	30637860228	43430410
1787882240.619004177	s5-eth2	10496969936	13932905959
1787882240.619004177	s5-eth3	43122347	23720646464
1787882240.619004177	s5-eth4	332531	318480
1787882240.619004177	s6-eth1	741020388	321119
1787882240.619004177	s6-eth2	321119	203021519
1787882240.619004177	s6-eth3	321119	356724642
1787882240.619004177	s6-eth4	332726	321119
1787882240.619004177	s7-eth1	11047393347	13873745387
1787882240.619004177	s7-eth2	42581414	18368980988
1787882240.619004177	s7-eth3	23155797327	43126763
1787882240.619004177	s7-eth4	332503	321119
1787882240.619004177	s8-eth1	321049	321119
1787882240.619004177	s8-eth2	318277	321119
1787882240.619004177	s8-eth3	321119	318480
1787882240.619004177	s8-eth4	332601	321119
1787882240.619004177	s9-eth1	23720646464	43122347
1787882240.619004177	s9-eth2	356724642	321119
1787882240.619004177	s9-eth3	43126763	23155797327
1787882240.619004177	s9-eth4	318480	321119
1787882242.890747347	s10-eth1	318480	332531
1787882242.890747347	s10-eth2	321119	332726
1787882242.890747347	s10-eth3	321119	332503
1787882242.890747347	s10-eth4	321119	332601
1787882242.890747347	s1-eth1	43430410	30637860228
1787882242.890747347	s1-eth10	35632189	634242
1787882242.890747347	s1-eth11	3060227322	382695
1787882242.890747347	s1-eth12	271162893	658977
1787882242.890747347	s1-eth13	32263380	291419
1787882242.890747347	s1-eth14	273201748	724895
1787882242.890747347	s1-eth15	2011049467	2254257
1787882242.890747347	s1-eth16	338097244	1856350
1787882242.890747347	s1-eth17	136838105	2058627
1787882242.890747347	s1-eth18	218880992	13101
1787882242.890747347	s1-eth19	9151066088	657964
1787882242.890747347	s1-eth2	321119	741020388
1787882242.890747347	s1-eth20	349147305	1547771
1787882242.890747347	s1-eth21	399603449	2582945
1787882242.890747347	s1-eth22	65594530	775524
1787882242.890747347	s1-eth23	2113414540	1016704
1787882242.890747347	s1-eth24	275209256	639274
1787882242.890747347	s1-eth25	174160461	2433215
1787882242.890747347	s1-eth26	342037253	1606059
1787882242.890747347	s1-eth27	2184740749	1378517
1787882242.890747347	s1-eth28	87433539	1354965
1787882242.890747347	s1-eth29	53352140	860960
1787882242.890747347	s1-eth3	9626667801	5143328
1787882242.890747347	s1-eth30	60033397	979657
1787882242.890747347	s1-eth31	2078853627	630967
1787882242.890747347	s1-eth32	302915748	1152749
1787882242.890747347	s1-eth33	111671098	1716128
1787882242.890747347	s1-eth34	74261886	1063841
1787882242.890747347	s1-eth4	297097520	1065931
1787882242.890747347	s1-eth5	308515260	1297341
1787882242.890747347	s1-eth6	294865484	1130873
1787882242.890747347	s1-eth7	2217676700	2288235
1787882242.890747347	s1-eth8	344175117	1837064
1787882242.890747347	s1-eth9	106360271	1433514
1787882242.890747347	s2-eth1	13932905959	10496969936
1787882242.890747347	s2-eth10	285680739	881548
1787882242.890747347	s2-eth11	3129080836	2626450
1787882242.890747347	s2-eth12	57312921	1002753
1787882242.890747347	s2-eth13	74846737	959798
1787882242.890747347	s2-eth14	48279981	558194
1787882242.890747347	s2-eth15	1969929081	1889174
1787882242.890747347	s2-eth16	348074353	1868861
1787882242.890747347	s2-eth17	346326963	1858027
1787882242.890747347	s2-eth18	248788317	545131
1787882242.890747347	s2-eth19	649576	6621553484
1787882242.890747347	s2-eth2	203021519	321119
1787882242.890747347	s2-eth20	1541554	187011170
1787882242.890747347	s2-eth21	2574995	231195856
1787882242.890747347	s2-eth22	768129	51416437
1787882242.890747347	s2-eth23	1008881	1859957180
1787882242.890747347	s2-eth24	631088	106816743
1787882242.890747347	s2-eth25	2427765	158080216
1787882242.890747347	s2-eth26	1598853	172611325
1787882242.890747347	s2-eth27	1370318	1930997242
1787882242.890747347	s2-eth28	1347267	83089165
1787882242.890747347	s2-eth29	852784	51838458
1787882242.890747347	s2-eth3	1456462752	835432
1787882242.890747347	s2-eth30	971427	57471942
1787882242.890747347	s2-eth31	623396	1827735863
1787882242.890747347	s2-eth32	1144442	142927579
1787882242.890747347	s2-eth33	1712157	107384501
