epoch	iso	load1	my_workers	top_nonmine_cpu	top_nonmine_cmd
1787577910	21:25:10	1.69	0	8.8	chrome
1787577915	21:25:15	1.56	0	8.8	chrome
1787577920	21:25:20	1.43	0	8.8	chrome
1787577925	21:25:25	2.44	14	58.3	ryu-manager
1787577930	21:25:30	3.44	14	65.8	python
1787577936	21:25:36	4.53	14	30.2	chrome
1787577941	21:25:41	5.69	14	21.3	chrome
1787577946	21:25:46	6.76	14	14.6	chrome
1787577952	21:25:52	7.98	14	11.1	chrome
1787577957	21:25:57	9.10	14	8.9	chrome
1787577962	21:26:02	10.53	14	8.7	chrome
1787577968	21:26:08	11.21	14	49.0	git
1787577973	21:26:13	11.84	14	8.7	chrome
1787577978	21:26:18	12.89	14	8.7	chrome
1787577984	21:26:24	14.18	14	8.7	chrome
1787577989	21:26:29	14.25	14	8.7	chrome
1787577994	21:26:34	14.66	14	8.7	chrome
1787578000	21:26:40	14.93	14	8.7	chrome
1787578005	21:26:45	15.58	14	54.3	claude
1787578010	21:26:50	16.01	14	8.7	chrome
1787578015	21:26:55	14.89	0	8.6	chrome
1787578020	21:27:00	13.86	0	8.6	chrome
1787578025	21:27:05	12.99	0	20.6	ndtwin_kernel
1787578030	21:27:10	12.19	0	33.3	ndtwin_kernel
1787578036	21:27:16	11.37	0	41.3	ndtwin_kernel
1787578041	21:27:21	10.62	0	74.1	chrome
1787578046	21:27:26	9.85	0	43.9	chrome
1787578051	21:27:31	9.14	0	29.9	chrome
1787578056	21:27:36	8.49	0	99.4	python
1787578061	21:27:41	8.61	0	30.9	python
1787578066	21:27:46	8.16	0	19.9	python
1787578071	21:27:51	7.59	0	15.5	python
1787578076	21:27:56	6.98	0	12.8	chrome
1787578081	21:28:01	6.42	0	11.4	chrome
1787578086	21:28:06	5.91	0	10.3	chrome
1787578091	21:28:11	5.51	0	9.3	chrome
1787578096	21:28:16	5.07	0	8.6	chrome
1787578101	21:28:21	4.74	0	9.8	chrome
1787578106	21:28:26	4.60	0	139	chrome
1787578111	21:28:31	4.48	0	92.6	chrome
1787578116	21:28:36	4.12	0	58.4	chrome
1787578121	21:28:41	3.79	0	44.4	chrome
1787578126	21:28:46	4.77	14	56.0	ryu-manager
1787578132	21:28:52	5.75	14	46.3	python
1787578137	21:28:57	7.53	14	31.2	chrome
1787578142	21:29:02	8.69	14	26.9	chrome
1787578148	21:29:08	11.11	14	23.7	chrome
1787578153	21:29:13	12.63	14	500	python3
1787578159	21:29:19	13.46	14	19.9	chrome
1787578164	21:29:24	14.67	14	19.6	chrome
1787578170	21:29:30	14.77	14	18.9	chrome
1787578175	21:29:35	15.67	14	16.2	chrome
1787578180	21:29:40	16.50	14	13.9	chrome
1787578186	21:29:46	16.46	14	13.0	chrome
1787578191	21:29:51	16.50	14	200	chrome
1787578196	21:29:56	16.54	14	11.5	chrome
1787578201	21:30:01	16.66	14	12.2	chrome
1787578207	21:30:07	16.69	14	11.6	chrome
1787578212	21:30:12	17.11	0	11.0	chrome
